vst param #	name	min	max	display	unit	default
0	Wave	1	5	=	-	3
1	Harmonics	0	1	=	-	0
2	Octave	0	1	=	-	0.5
3	Mastertuning	0	1	=	-	0.5
4	Attack1	0	1	=	-	0.32
5	Decay1	0	1	=	-	0.5
6	Sustain1	0	1	=	-	0.5
7	Release1	0	1	=	-	0.8
8	Repeat	0	1	=	-	0
9	Velosens	0	1	=	-	0.7752
10	ADSR2wave	0	1	=	-	0
11	ADSR2harm	0	1	=	-	0.5
12	Speed1	0	12	=	Hz	6.8
13	Range1	0	10	=	ms	3.2
14	Lag1	0	1	=	-	0.73
15	On1	0	1	=	-	0.5
16	Speed2	0	12	=	Hz	6
17	Range2	0	10	=	ms	3.3
18	Lag2	0	1	=	-	0.405
19	On2	0	1	=	-	0.5
20	Speed3	0	12	=	Hz	6
21	Range3	0	10	=	ms	2.5
22	Lag3	0	1	=	-	0.585
23	On3	0	1	=	-	0.5
24	Stereo	0	100	=	%	100
25	PolyMono	0	1	=	-	0
26	Memory	0	1	=	-	0
27	FdBkAmount	0	100	=	%	48
28	FdBkPhase	0	1	=	-	0
29	Attack2	0	1	=	-	0.5
30	Release2	0	1	=	-	0.5
31	ReverbSize	0	1	=	-	0.99
32	ReverbMix	0	1	=	-	0.46
33	ReverbOn	0	1	=	-	1
34	EQHPHz	0	1	=	-	0.5
35	EQLPHz	0	1	=	-	0.5
36	EQBRHz	0	1	=	-	0.6171
37	EQBRBW	0	1	=	-	0.5
38	EQBRGain	0	1	=	-	0
39	EQOn	0	1	=	-	0.5
40	Gain_out	0	1	=	-	0.693347
41	Pan	0	1	=	-	0.5
42	Noise	0	1	=	-	0.33
43	RangeHarmonics	0	1	=	-	0
44	LFO1Type	0	1	=	-	0
45	LFO1Speed	0	1	=	-	0
46	LFO1Delay	0	10	=	-	0
47	LFO1Depth	-1	1	=	-	0
48	PBrange	0	24	=	-	12
49	KTCenter	0	1	=	-	0.5
50	KTSlope	0	1	=	-	0.5
51	KTToAmplitude	0	1	=	-	0
52	KTToHarmonics	0	1	=	-	0
53	NoiseHamonicsLink	0	1	=	-	0
